File	SMILES	HOMO (Ha)	LUMO (Ha)	GAP (eV)
Hc1cNcOcCCcCNc1F_opt.log	c1c(N)c(O)c(C=C)c(C#N)c1(F)	-0.21691	-0.03534	4.940773898
Hc1cNcCcCCcCOc1CN_opt.log	c1c(N)c(C)c(C=C)c(C=O)c1(C#N)	-0.23499	-0.05712	4.840091718
Hc1cNcCcOcCc1CO_opt.log	c1c(N)c(C)c(O)c(C)c1(C=O)	-0.20266	-0.04661	4.246338970000001
Hc1cNcNcCCcNOO-c1NOO-_opt.log	c1c(N)c(N)c(C=C)c(N(=O)(=O))c1(N(=O)(=O))	-0.23198	-0.09484	3.7317713959999996
Hc1cNcCOcCOcCc1NOO-_opt.log	c1c(N)c(C=O)c(C=O)c(C)c1(N(=O)(=O))	-0.24202	-0.11281	3.5159849940000005
Hc1cNcNOO-cNOO-cFc1O_opt.log	c1c(N)c(N(=O)(=O))c(N(=O)(=O))c(F)c1(O)	-0.25482	-0.11503	3.803881606
Hc1cNcFcNOO-cNc1O_opt.log	c1c(N)c(F)c(N(=O)(=O))c(N)c1(O)	-0.18317	-0.08044	2.795427122
Hc1cNcOcCOcFc1N_opt.log	c1c(N)c(O)c(C=O)c(F)c1(N)	-0.19118	-0.04708	3.92116274
Hc1cNcNOO-cFcNOO-c1CC_opt.log	c1c(N)c(N(=O)(=O))c(F)c(N(=O)(=O))c1(C=C)	-0.25693	-0.11078	3.97694611
Hc1cNcFcHcCNc1O_opt.log	c1c(N)c(F)cc(C#N)c1(O)	-0.22096	-0.02423	5.353298722
Hc1cNcHcNOO-cOc1CN_opt.log	c1c(N)cc(N(=O)(=O))c(O)c1(C#N)	-0.2291	-0.10009	3.5105427140000005
Hc1cCcNOO-cNOO-cFc1CN_opt.log	c1c(C)c(N(=O)(=O))c(N(=O)(=O))c(F)c1(C#N)	-0.31603	-0.14539	4.643353296
Hc1cNcCNcFcFc1F_opt.log	c1c(N)c(C#N)c(F)c(F)c1(F)	-0.24075	-0.05036	5.180778446000001
Hc1cNcCcNcCCc1CO_opt.log	c1c(N)c(C)c(N)c(C=C)c1(C=O)	-0.19101	-0.03751	4.176949900000001
Hc1cNcNcOcCOc1CO_opt.log	c1c(N)c(N)c(O)c(C=O)c1(C=O)	-0.2156	-0.05471	4.378042146
Hc1cNcNcCOcOc1CC_opt.log	c1c(N)c(N)c(C=O)c(O)c1(C=C)	-0.1942	-0.04611	4.029736226
Hc1cNcOcNcFc1CN_opt.log	c1c(N)c(O)c(N)c(F)c1(C#N)	-0.20498	-0.01851	5.0741097580000005
Hc1cNcFcCNcCc1CO_opt.log	c1c(N)c(F)c(C#N)c(C)c1(C=O)	-0.23263	-0.07139	4.387566136
Hc1cNcOcCOcNc1CC_opt.log	c1c(N)c(O)c(C=O)c(N)c1(C=C)	-0.1702	-0.04309	3.458841054
Hc1cNcCOcCOcNOO-c1CN_opt.log	c1c(N)c(C=O)c(C=O)c(N(=O)(=O))c1(C#N)	-0.27375	-0.12084	4.160895174
Hc1cNcCcCOcNc1NOO-_opt.log	c1c(N)c(C)c(C=O)c(N)c1(N(=O)(=O))	-0.20587	-0.08697	3.2354354599999997
Hc1cNcCcCOcFc1NOO-_opt.log	c1c(N)c(C)c(C=O)c(F)c1(N(=O)(=O))	-0.2357	-0.10178	3.644150688
Hc1cNcCCcCCcHc1CC_opt.log	c1c(N)c(C=C)c(C=C)cc1(C=C)	-0.19763	-0.0256	4.681177142
Hc1cNcCOcHcNc1CC_opt.log	c1c(N)c(C=O)cc(N)c1(C=C)	-0.1806	-0.04647	3.6498650820000007
Hc1cCcNOO-cFcCNc1CC_opt.log	c1c(C)c(N(=O)(=O))c(F)c(C#N)c1(C=C)	-0.28242	-0.11163	4.647435006
Hc1cCcNOO-cCCcHc1CC_opt.log	c1c(C)c(N(=O)(=O))c(C=C)cc1(C=C)	-0.25811	-0.09183	4.524711592
Hc1cNcNOO-cCNcCc1CN_opt.log	c1c(N)c(N(=O)(=O))c(C#N)c(C)c1(C#N)	-0.25953	-0.11947	3.811228683999999
Hc1cNcOcNcNc1CO_opt.log	c1c(N)c(O)c(N)c(N)c1(C=O)	-0.19866	-0.02354	4.765260368
Hc1cNcFcCCcCNc1F_opt.log	c1c(N)c(F)c(C=C)c(C#N)c1(F)	-0.23431	-0.04694	5.098600018
Hc1cNcCNcNcCOc1CO_opt.log	c1c(N)c(C#N)c(N)c(C=O)c1(C=O)	-0.23412	-0.09043	3.910006066
Hc1cNcNcCCcNc1O_opt.log	c1c(N)c(N)c(C=C)c(N)c1(O)	-0.15085	0.01357	4.474098388000001
Hc1cCcNOO-cFcNOO-c1CO_opt.log	c1c(C)c(N(=O)(=O))c(F)c(N(=O)(=O))c1(C=O)	-0.29923	-0.14282	4.256135074
Hc1cNcNcCNcCNc1F_opt.log	c1c(N)c(N)c(C#N)c(C#N)c1(F)	-0.22916	-0.06044	4.591107408
Hc1cNcOcOcCCc1N_opt.log	c1c(N)c(O)c(O)c(C=C)c1(N)	-0.17883	0.02056	5.425681046
Hc1cNcCcCOcNOO-c1NOO-_opt.log	c1c(N)c(C)c(C=O)c(N(=O)(=O))c1(N(=O)(=O))	-0.25067	-0.1132	3.7407511580000006
Hc1cNcFcNcNc1CO_opt.log	c1c(N)c(F)c(N)c(N)c1(C=O)	-0.17321	-0.03457	3.7725884960000005
Hc1cNcCOcCOcFc1CO_opt.log	c1c(N)c(C=O)c(C=O)c(F)c1(C=O)	-0.24079	-0.09979	3.8368074000000005
Hc1cNcFcOcCOc1CO_opt.log	c1c(N)c(F)c(O)c(C=O)c1(C=O)	-0.2402	-0.07389	4.525527934
Hc1cCcNOO-cOcOc1CO_opt.log	c1c(C)c(N(=O)(=O))c(O)c(O)c1(C=O)	-0.24731	-0.10098	3.9818441620000007
Hc1cNcCOcHcCNc1CN_opt.log	c1c(N)c(C=O)cc(C#N)c1(C#N)	-0.25491	-0.0976	4.280625334000001
Hc1cNcCCcCCcCNc1CO_opt.log	c1c(N)c(C=C)c(C=C)c(C#N)c1(C=O)	-0.22936	-0.07282	4.259672556000001
Hc1cNcNcCcOc1CO_opt.log	c1c(N)c(N)c(C)c(O)c1(C=O)	-0.20402	-0.02278	4.931794136000001
Hc1cNcNOO-cNcOc1CO_opt.log	c1c(N)c(N(=O)(=O))c(N)c(O)c1(C=O)	-0.21216	-0.09775	3.113256274
Hc1cNcNOO-cCcCCc1CN_opt.log	c1c(N)c(N(=O)(=O))c(C)c(C=C)c1(C#N)	-0.23644	-0.10311	3.628095962
Hc1cNcCOcNOO-cCCc1CC_opt.log	c1c(N)c(C=O)c(N(=O)(=O))c(C=C)c1(C=C)	-0.23301	-0.09625	3.721431064
Hc1cNcCCcNOO-cCc1CO_opt.log	c1c(N)c(C=C)c(N(=O)(=O))c(C)c1(C=O)	-0.22594	-0.09102	3.6713620879999995
Hc1cNcOcOcOc1CN_opt.log	c1c(N)c(O)c(O)c(O)c1(C#N)	-0.1932	-0.0147	4.857234900000001
Hc1cNcCOcCCcNOO-c1O_opt.log	c1c(N)c(C=O)c(C=C)c(N(=O)(=O))c1(O)	-0.24072	-0.07617	4.477635869999999
Hc1cNcHcCOcCCc1O_opt.log	c1c(N)cc(C=O)c(C=C)c1(O)	-0.20759	-0.05465	4.1617115159999996
Hc1cNcFcCCcHc1NOO-_opt.log	c1c(N)c(F)c(C=C)cc1(N(=O)(=O))	-0.23137	-0.09563	3.6936754359999995
Hc1cCcNOO-cCCcCOc1CC_opt.log	c1c(C)c(N(=O)(=O))c(C=C)c(C=O)c1(C=C)	-0.25245	-0.0973	4.221848710000001
Hc1cNcNOO-cNOO-cCOc1O_opt.log	c1c(N)c(N(=O)(=O))c(N(=O)(=O))c(C=O)c1(O)	-0.27009	-0.11817	4.133955888
